Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,fair_score,fair_rank,pos_rel_score,pos_rel_rank
Max Aarons,DF,Bournemouth,3,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Joshua Acheampong,DF,Chelsea,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,0,8,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Tyler Adams,MF,Bournemouth,28,21,"1,965",21.8,0,3,3,0,0,0,7,0,1.6,1.6,1,2.6,14,76,10,0,0.14,0.14,0,,,,,,,,0.0,297.0,0.0,56.5
Tosin Adarabioyo,DF,Chelsea,22,15,"1,409",15.7,1,1,2,1,0,0,4,0,0.9,0.9,0.2,1.2,5,42,1,0.06,0.06,0.13,0.06,,,,,,,,0.0,297.0,0.0,93.5
Simon Adingra,"FW,MF",Brighton,29,12,"1,097",12.2,2,2,4,2,0,0,0,0,2.5,2.5,2.5,4.9,50,18,136,0.16,0.16,0.33,0.16,,,,,,,,0.0,297.0,0.0,30.5
Emmanuel Agbadou,DF,Wolves,16,16,"1,410",15.7,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.1,6,31,2,0.06,0,0.06,0.06,,,,,,,,0.0,297.0,0.0,93.5
Asher Agbinone,MF,Crystal Palace,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,2,0,1,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
Ola Aina,DF,Nott'ham Forest,35,35,"2,995",33.3,2,1,3,2,0,0,5,0,0.6,0.6,1.4,2.1,67,107,67,0.06,0.03,0.09,0.06,,,,,,,,0.0,297.0,0.0,93.5
Rayan Aït-Nouri,DF,Wolves,37,37,"3,109",34.5,4,7,11,4,0,0,7,1,2.7,2.7,5.5,8.2,89,108,176,0.12,0.2,0.32,0.12,,,,,,,,0.0,297.0,0.0,93.5
Kristoffer Ajer,DF,Brentford,24,17,"1,438",16,0,0,0,0,0,0,5,0,1,1,1.2,2.2,27,56,44,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Manuel Akanji,DF,Manchester City,26,23,"2,014",22.4,0,0,0,0,0,0,3,0,1.6,1.6,0.4,1.9,46,158,7,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Nathan Aké,DF,Manchester City,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,12,50,2,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Carlos Alcaraz,MF,Southampton,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
Carlos Alcaraz,"FW,MF",Everton,15,7,764,8.5,2,3,5,2,0,0,4,0,1.7,1.7,1.6,3.4,19,42,21,0.24,0.35,0.59,0.24,,,,,,,,0.0,297.0,0.0,30.5
Trent Alexander-Arnold,DF,Liverpool,33,28,"2,365",26.3,3,6,9,3,0,0,5,0,1.9,1.9,7.3,9.2,51,232,94,0.11,0.23,0.34,0.11,,,,,,,,0.0,297.0,0.0,93.5
Alisson,GK,Liverpool,28,28,"2,508",27.9,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,1,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Miguel Almirón,FW,Newcastle Utd,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0,0,0,0,,,,,,,,0.0,297.0,0.0,43.0
Olabade Aluko,DF,Leicester City,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Edson Álvarez,MF,West Ham,28,20,"1,772",19.7,0,1,1,0,0,0,9,1,0.4,0.4,0.8,1.2,24,85,18,0,0.05,0.05,0,,,,,,,,0.0,297.0,0.0,56.5
Will Alves,FW,Leicester City,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,0.0,297.0,0.0,43.0
Harry Amass,DF,Manchester Utd,5,4,346,3.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,9,7,23,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Samuel Amo-Ameyaw,"FW,DF",Southampton,2,0,28,0.3,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,0,3,0,0,0,0,,,,,,,,0.0,297.0,0.0,4.0
Mathis Amougou,MF,Chelsea,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
