general_election_year,constituency_name,by_election_date,incumbent_mp_name,incumbent_elected_party_name,incumbent_final_party_name,winner_mp_name,winner_party_name,cause,cause_category,governing_outcome
1955,Ulster Mid,1955-08-11,Tom Mitchell,Sinn Féin,Sinn Féin,Charles Beattie,Ulster Unionist Party,Disqualification,Disqualified / Expelled,Opposition Gain
1955,Gateshead West,1955-12-07,John Hall,Labour,Labour,Harry Randall,Labour,Death,Death,Opposition Defence
1955,Greenock,1955-12-08,Hector McNeil,Labour,Labour,Dickson Mabon,Labour,Death,Death,Opposition Defence
1955,Torquay,1955-12-15,Charles Williams,Conservative,Conservative,Frederic Bennett,Conservative,Death,Death,Government Defence
1955,Blaydon,1956-02-02,William Whiteley,Labour,Labour,Robert Woof,Labour,Death,Death,Opposition Defence
1955,Leeds North East,1956-02-09,Osbert Peake,Conservative,Conservative,"Sir Keith Joseph, Bt.",Conservative,Elevation to a hereditary peerage,Peerage,Government Defence
1955,Gainsborough,1956-02-14,Harry Crookshank,Conservative,Conservative,Marcus Kimball,Conservative,Elevation to a hereditary peerage,Peerage,Government Defence
1955,Taunton,1956-02-14,Henry Hopkinson,Conservative,Conservative,Edward du Cann,Conservative,Elevation to a hereditary peerage,Peerage,Government Defence
1955,Hereford,1956-02-14,James Thomas,Conservative,Conservative,David Gibson-Watt,Conservative,Elevation to a hereditary peerage,Peerage,Government Defence
1955,Walthamstow West,1956-03-01,Clement Attlee,Labour,Labour,Edward Redhead,Labour,Elevation to a hereditary peerage,Peerage,Opposition Defence
1955,Ulster Mid,1956-05-08,Charles Beattie,Ulster Unionist Party,Ulster Unionist Party,George Forrest,Independent,Disqualification,Disqualified / Expelled,Opposition Gain
1955,Tonbridge,1956-06-07,Gerald Williams,Conservative,Conservative,Richard Hornby,Conservative,Resignation,Resignation,Government Defence
1955,Newport,1956-07-06,Peter Freeman,Labour,Labour,Sir Frank Soskice,Labour,Death,Death,Opposition Defence
1955,Chester-le-Street,1956-09-27,Patrick Bartley,Labour,Labour,Norman Pentland,Labour,Death,Death,Opposition Defence
1955,"Chester, City of",1956-11-15,Basil Nield,Conservative,Conservative,John Temple,Conservative,Recorder of Manchester,Appointment,Government Defence
1955,Melton,1956-12-19,Anthony Nutting,Conservative,Conservative,Mervyn Pike,Conservative,Resignation (disagreement with party over Suez),Resignation,Government Defence
1955,Lewisham North,1957-02-14,"Sir Austin Hudson, Bt.",Conservative,Conservative,Niall MacDermot,Labour,Death,Death,Opposition Gain
1955,Wednesbury,1957-02-28,Stanley Evans,Labour,Labour,John Stonehouse,Labour,Resignation (disagreement with party over Suez),Resignation,Opposition Defence
