date,country_name,party_name,voting_intention
2026-07-02,Great Britain,Other,5.55
2026-07-02,Great Britain,Conservative,18.89
2026-07-02,Great Britain,Green Party,13.58
2026-07-02,Great Britain,Labour,19.96
2026-07-02,Great Britain,Liberal Democrats,11.94
2026-07-02,Great Britain,Plaid Cymru,1.25
2026-07-02,Great Britain,Reform UK,26.32
2026-07-02,Great Britain,SNP,2.87
2026-06-29,Great Britain,Other,5.63
2026-06-29,Great Britain,Conservative,18.77
2026-06-29,Great Britain,Green Party,13.68
2026-06-29,Great Britain,Labour,19.56
2026-06-29,Great Britain,Liberal Democrats,12.03
2026-06-29,Great Britain,Plaid Cymru,1.25
2026-06-29,Great Britain,Reform UK,26.51
2026-06-29,Great Britain,SNP,2.91
2026-06-28,Great Britain,Other,5.51
2026-06-28,Great Britain,Conservative,18.7
2026-06-28,Great Britain,Green Party,13.7
2026-06-28,Great Britain,Labour,19.51
2026-06-28,Great Britain,Liberal Democrats,12.0
2026-06-28,Great Britain,Reform UK,26.77
2026-06-28,Great Britain,SNP,2.84
2026-06-26,Great Britain,Other,5.65
2026-06-26,Great Britain,Conservative,18.49
2026-06-26,Great Britain,Green Party,13.84
2026-06-26,Great Britain,Labour,19.3
2026-06-26,Great Britain,Liberal Democrats,12.0
2026-06-26,Great Britain,Plaid Cymru,1.25
2026-06-26,Great Britain,Reform UK,26.85
2026-06-26,Great Britain,SNP,2.91
2026-06-25,Great Britain,Other,5.51
2026-06-25,Great Britain,Conservative,18.56
2026-06-25,Great Britain,Green Party,14.34
2026-06-25,Great Britain,Labour,18.94
2026-06-25,Great Britain,Liberal Democrats,12.0
2026-06-25,Great Britain,Plaid Cymru,1.3
2026-06-25,Great Britain,Reform UK,26.77
2026-06-25,Great Britain,SNP,2.91
2026-06-24,Great Britain,Other,5.46
2026-06-24,Great Britain,Conservative,18.67
2026-06-24,Great Britain,Green Party,14.45
2026-06-24,Great Britain,Labour,18.7
2026-06-24,Great Britain,Liberal Democrats,12.08
2026-06-24,Great Britain,Reform UK,26.71
2026-06-22,Great Britain,Other,5.24
2026-06-22,Great Britain,Conservative,18.66
2026-06-22,Great Britain,Green Party,14.45
2026-06-22,Great Britain,Labour,18.4
2026-06-22,Great Britain,Liberal Democrats,12.14
2026-06-22,Great Britain,Plaid Cymru,1.3
2026-06-22,Great Britain,Reform UK,26.9
2026-06-22,Great Britain,SNP,2.91
2026-06-19,Great Britain,Other,5.14
2026-06-19,Great Britain,Conservative,18.51
2026-06-19,Great Britain,Green Party,14.57
2026-06-19,Great Britain,Labour,18.44
2026-06-19,Great Britain,Liberal Democrats,12.09
2026-06-19,Great Britain,Plaid Cymru,1.31
2026-06-19,Great Britain,Reform UK,27.03
2026-06-19,Great Britain,SNP,2.91
2026-06-18,Great Britain,Other,5.0
2026-06-18,Great Britain,Conservative,18.45
2026-06-18,Great Britain,Green Party,14.67
2026-06-18,Great Britain,Labour,18.4
2026-06-18,Great Britain,Liberal Democrats,12.13
2026-06-18,Great Britain,Plaid Cymru,1.33
2026-06-18,Great Britain,Reform UK,27.13
2026-06-18,Great Britain,SNP,2.89
2026-06-15,Great Britain,Other,4.72
2026-06-15,Great Britain,Conservative,18.53
2026-06-15,Great Britain,Green Party,14.47
2026-06-15,Great Britain,Labour,18.77
2026-06-15,Great Britain,Liberal Democrats,12.14
2026-06-15,Great Britain,Plaid Cymru,1.33
2026-06-15,Great Britain,Reform UK,27.14
2026-06-15,Great Britain,SNP,2.89
2026-06-11,Great Britain,Other,4.58
2026-06-11,Great Britain,Conservative,18.45
2026-06-11,Great Britain,Green Party,14.29
2026-06-11,Great Britain,Labour,19.0
2026-06-11,Great Britain,Liberal Democrats,12.17
2026-06-11,Great Britain,Plaid Cymru,1.29
2026-06-11,Great Britain,Reform UK,27.31
2026-06-11,Great Britain,SNP,2.91
2026-06-09,Great Britain,Other,4.58
2026-06-09,Great Britain,Conservative,18.42
2026-06-09,Great Britain,Green Party,14.09
2026-06-09,Great Britain,Labour,19.16
2026-06-09,Great Britain,Liberal Democrats,12.15
2026-06-09,Great Britain,Plaid Cymru,1.22
2026-06-09,Great Britain,Reform UK,27.41
2026-06-09,Great Britain,SNP,2.97
2026-06-08,Great Britain,Other,4.8
2026-06-08,Great Britain,Conservative,18.21
2026-06-08,Great Britain,Green Party,14.44
2026-06-08,Great Britain,Labour,18.95
2026-06-08,Great Britain,Liberal Democrats,12.15
2026-06-08,Great Britain,Plaid Cymru,1.29
2026-06-08,Great Britain,Reform UK,27.33
2026-06-08,Great Britain,SNP,2.97
2026-06-05,Great Britain,Other,4.72
2026-06-05,Great Britain,Conservative,18.2
2026-06-05,Great Britain,Green Party,14.72
2026-06-05,Great Britain,Labour,18.65
2026-06-05,Great Britain,Liberal Democrats,12.21
2026-06-05,Great Britain,Plaid Cymru,1.22
2026-06-05,Great Britain,Reform UK,27.32
2026-06-05,Great Britain,SNP,3.04
2026-06-04,Great Britain,Other,4.5
2026-06-04,Great Britain,Conservative,18.33
2026-06-04,Great Britain,Green Party,14.49
2026-06-04,Great Britain,Labour,18.71
2026-06-04,Great Britain,Liberal Democrats,12.42
2026-06-04,Great Britain,Plaid Cymru,1.29
2026-06-04,Great Britain,Reform UK,27.37
2026-06-04,Great Britain,SNP,3.04
2026-06-01,Great Britain,Other,4.35
2026-06-01,Great Britain,Conservative,18.3
2026-06-01,Great Britain,Green Party,14.4
2026-06-01,Great Britain,Labour,18.76
2026-06-01,Great Britain,Liberal Democrats,12.55
2026-06-01,Great Britain,Plaid Cymru,1.29
2026-06-01,Great Britain,Reform UK,27.4
2026-06-01,Great Britain,SNP,3.03
2026-05-29,Scotland,Other,2.5
2026-05-29,Scotland,Conservative,10.7
2026-05-29,Scotland,Green Party,9.12
2026-05-29,Scotland,Labour,16.45
2026-05-29,Scotland,Liberal Democrats,8.91
2026-05-29,Scotland,Reform UK,19.63
