team,champ_win_prob,ro32_prob,r16_prob,qf_prob,sf_prob,final_prob
Qatar,0.0,0.07,0.01,0.0,0.0,0.0
Spain,0.03,0.46,0.25,0.18,0.09,0.09
Pending5,0.0,0.1,0.03,0.01,0.0,0.0
Chile,0.01,0.23,0.09,0.02,0.01,0.01
South Korea,0.01,0.36,0.14,0.06,0.01,0.01
Australia,0.0,0.1,0.02,0.0,0.0,0.0
Pending1,0.0,0.09,0.02,0.0,0.0,0.0
Portugal,0.07,0.52,0.34,0.14,0.1,0.1
Mexico,0.08,0.67,0.43,0.21,0.15,0.15
Algeria,0.0,0.13,0.03,0.0,0.0,0.0
Colombia,0.04,0.52,0.28,0.16,0.09,0.09
Tunisia,0.0,0.2,0.05,0.02,0.01,0.01
Italy,0.06,0.64,0.36,0.18,0.1,0.1
Argentina,0.04,0.52,0.3,0.17,0.1,0.1
Netherlands,0.04,0.56,0.32,0.16,0.07,0.07
Nigeria,0.0,0.2,0.03,0.01,0.0,0.0
Pending2,0.0,0.02,0.0,0.0,0.0,0.0
Serbia,0.0,0.16,0.07,0.0,0.0,0.0
Ukraine,0.01,0.26,0.1,0.07,0.02,0.02
Pending3,0.0,0.08,0.01,0.0,0.0,0.0
Switzerland,0.01,0.47,0.26,0.09,0.05,0.05
Poland,0.0,0.25,0.13,0.06,0.02,0.02
Ghana,0.0,0.03,0.02,0.0,0.0,0.0
Croatia,0.02,0.54,0.29,0.15,0.07,0.07
Belgium,0.07,0.55,0.39,0.23,0.16,0.16
Denmark,0.0,0.43,0.19,0.1,0.04,0.04
Germany,0.0,0.54,0.26,0.12,0.01,0.01
Saudi Arabia,0.0,0.13,0.02,0.01,0.0,0.0
Egypt,0.0,0.17,0.03,0.0,0.0,0.0
Senegal,0.0,0.55,0.27,0.12,0.02,0.02
Uruguay,0.03,0.48,0.31,0.17,0.07,0.07
Cameroon,0.0,0.07,0.01,0.01,0.0,0.0
England,0.17,0.75,0.44,0.34,0.22,0.22
Japan,0.01,0.6,0.31,0.19,0.06,0.06
Ecuador,0.01,0.47,0.2,0.06,0.04,0.04
Costa Rica,0.0,0.16,0.05,0.01,0.0,0.0
Canada,0.03,0.63,0.36,0.22,0.09,0.09
Morocco,0.01,0.37,0.17,0.06,0.02,0.02
Pending4,0.0,0.1,0.01,0.0,0.0,0.0
Venezuela,0.0,0.06,0.01,0.0,0.0,0.0
Paraguay,0.0,0.03,0.0,0.0,0.0,0.0
Pending6,0.0,0.06,0.0,0.0,0.0,0.0
Ivory Coast,0.0,0.05,0.0,0.0,0.0,0.0
Brazil,0.11,0.5,0.31,0.22,0.12,0.12
Peru,0.0,0.31,0.11,0.02,0.01,0.01
USA,0.08,0.79,0.35,0.18,0.11,0.11
Iran,0.0,0.34,0.14,0.05,0.04,0.04
France,0.06,0.68,0.48,0.2,0.1,0.1
