game_date,game_id,away_name,home_name,venue_name,status
21/07/2026,823519,Pittsburgh Pirates,New York Yankees,Yankee Stadium,Scheduled
22/07/2026,823518,Pittsburgh Pirates,New York Yankees,Yankee Stadium,Scheduled
22/07/2026,824083,San Francisco Giants,Kansas City Royals,Kauffman Stadium,Scheduled
22/07/2026,823761,New York Mets,Milwaukee Brewers,American Family Field,Scheduled
22/07/2026,824327,Washington Nationals,Colorado Rockies,Coors Field,Scheduled
22/07/2026,825055,Athletics,Arizona Diamondbacks,Chase Field,Scheduled
22/07/2026,823110,Cincinnati Reds,Seattle Mariners,T-Mobile Park,Scheduled
22/07/2026,824004,St. Louis Cardinals,Los Angeles Angels,Angel Stadium,Scheduled
22/07/2026,824408,Minnesota Twins,Cleveland Guardians,Progressive Field,Scheduled
22/07/2026,823438,Los Angeles Dodgers,Philadelphia Phillies,Citizens Bank Park,Scheduled
22/07/2026,822784,Tampa Bay Rays,Toronto Blue Jays,Rogers Centre,Scheduled
22/07/2026,824732,Baltimore Orioles,Boston Red Sox,Fenway Park,Scheduled
22/07/2026,824896,San Diego Padres,Atlanta Braves,Truist Park,Scheduled
22/07/2026,822873,Chicago White Sox,Texas Rangers,Globe Life Field,Scheduled
22/07/2026,824650,Detroit Tigers,Chicago Cubs,Wrigley Field,Scheduled
22/07/2026,824166,Miami Marlins,Houston Astros,Daikin Park,Scheduled
23/07/2026,824893,San Diego Padres,Atlanta Braves,Truist Park,Scheduled
23/07/2026,824406,Minnesota Twins,Cleveland Guardians,Progressive Field,Scheduled
23/07/2026,822785,Tampa Bay Rays,Toronto Blue Jays,Rogers Centre,Scheduled
23/07/2026,823042,Arizona Diamondbacks,St. Louis Cardinals,Busch Stadium,Scheduled
23/07/2026,824247,Kansas City Royals,Detroit Tigers,Comerica Park,Scheduled
24/07/2026,823759,Colorado Rockies,Milwaukee Brewers,American Family Field,Scheduled
24/07/2026,824248,Kansas City Royals,Detroit Tigers,Comerica Park,Scheduled
24/07/2026,823352,Chicago Cubs,Pittsburgh Pirates,PNC Park,Scheduled
24/07/2026,822707,Arizona Diamondbacks,Washington Nationals,Nationals Park,Scheduled
24/07/2026,823434,New York Yankees,Philadelphia Phillies,Citizens Bank Park,Scheduled
24/07/2026,824812,Atlanta Braves,Baltimore Orioles,Oriole Park at Camden Yards,Scheduled
24/07/2026,823601,Los Angeles Dodgers,New York Mets,Citi Field,Scheduled
24/07/2026,822952,Cleveland Guardians,Tampa Bay Rays,Tropicana Field,Scheduled
24/07/2026,823843,San Diego Padres,Miami Marlins,loanDepot park,Scheduled
24/07/2026,824733,Toronto Blue Jays,Boston Red Sox,Fenway Park,Scheduled
24/07/2026,824573,Houston Astros,Chicago White Sox,Rate Field,Scheduled
24/07/2026,822872,Seattle Mariners,Texas Rangers,Globe Life Field,Scheduled
24/07/2026,823680,Athletics,Minnesota Twins,Target Field,Scheduled
24/07/2026,823031,Cincinnati Reds,St. Louis Cardinals,Busch Stadium,Scheduled
24/07/2026,823196,Los Angeles Angels,San Francisco Giants,Oracle Park,Scheduled
25/07/2026,824244,Kansas City Royals,Detroit Tigers,Comerica Park,Scheduled
25/07/2026,822704,Arizona Diamondbacks,Washington Nationals,Nationals Park,Scheduled
25/07/2026,823197,Los Angeles Angels,San Francisco Giants,Oracle Park,Scheduled
25/07/2026,824734,Toronto Blue Jays,Boston Red Sox,Fenway Park,Scheduled
25/07/2026,823841,San Diego Padres,Miami Marlins,loanDepot park,Scheduled
25/07/2026,823435,New York Yankees,Philadelphia Phillies,Citizens Bank Park,Scheduled
25/07/2026,822948,Cleveland Guardians,Tampa Bay Rays,Tropicana Field,Scheduled
25/07/2026,823355,Chicago Cubs,Pittsburgh Pirates,PNC Park,Scheduled
25/07/2026,824811,Atlanta Braves,Baltimore Orioles,Oriole Park at Camden Yards,Scheduled
25/07/2026,823679,Athletics,Minnesota Twins,Target Field,Scheduled
25/07/2026,824571,Houston Astros,Chicago White Sox,Rate Field,Scheduled
25/07/2026,823758,Colorado Rockies,Milwaukee Brewers,American Family Field,Scheduled
25/07/2026,823600,Los Angeles Dodgers,New York Mets,Citi Field,Scheduled
25/07/2026,823027,Cincinnati Reds,St. Louis Cardinals,Busch Stadium,Scheduled
25/07/2026,822869,Seattle Mariners,Texas Rangers,Globe Life Field,Scheduled
26/07/2026,822950,Cleveland Guardians,Tampa Bay Rays,Tropicana Field,Scheduled
26/07/2026,822706,Arizona Diamondbacks,Washington Nationals,Nationals Park,Scheduled
26/07/2026,823354,Chicago Cubs,Pittsburgh Pirates,PNC Park,Scheduled
26/07/2026,824730,Toronto Blue Jays,Boston Red Sox,Fenway Park,Scheduled
26/07/2026,824810,Atlanta Braves,Baltimore Orioles,Oriole Park at Camden Yards,Scheduled
26/07/2026,824246,Kansas City Royals,Detroit Tigers,Comerica Park,Scheduled
26/07/2026,823599,Los Angeles Dodgers,New York Mets,Citi Field,Scheduled
26/07/2026,823840,San Diego Padres,Miami Marlins,loanDepot park,Scheduled
26/07/2026,823678,Athletics,Minnesota Twins,Target Field,Scheduled
26/07/2026,824572,Houston Astros,Chicago White Sox,Rate Field,Scheduled
26/07/2026,823755,Colorado Rockies,Milwaukee Brewers,American Family Field,Scheduled
26/07/2026,823028,Cincinnati Reds,St. Louis Cardinals,Busch Stadium,Scheduled
26/07/2026,822870,Seattle Mariners,Texas Rangers,Globe Life Field,Scheduled
26/07/2026,823194,Los Angeles Angels,San Francisco Giants,Oracle Park,Scheduled
26/07/2026,823433,New York Yankees,Philadelphia Phillies,Citizens Bank Park,Scheduled
27/07/2026,822868,Seattle Mariners,Texas Rangers,Globe Life Field,Scheduled
27/07/2026,824245,Baltimore Orioles,Detroit Tigers,Comerica Park,Scheduled
27/07/2026,823353,Arizona Diamondbacks,Pittsburgh Pirates,PNC Park,Scheduled
27/07/2026,823839,Philadelphia Phillies,Miami Marlins,loanDepot park,Scheduled
27/07/2026,822705,Toronto Blue Jays,Washington Nationals,Nationals Park,Scheduled
