Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
João Pedro,20,br BRA,FW,23-290,66,1,0,0,0,1,1,0,0,2,1,2,0,0,1,0,
Liam Delap,9,eng ENG,FW,22-155,24,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,
Pedro Neto,7,pt POR,AM,25-126,77,0,0,0,0,0,0,1,0,1,1,0,3,0,0,0,
Christopher Nkunku,18,fr FRA,FW,MF,27-241,13,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,
Enzo Fernández,8,ar ARG,AM,24-177,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Andrey Santos,17,br BRA,MF,21-071,30,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Cole Palmer,10,eng ENG,AM,23-068,90,2,1,0,0,4,2,0,0,0,0,1,2,0,1,0,
Moisés Caicedo,25,ec ECU,DM,23-253,90,0,0,0,0,0,0,1,0,5,0,0,0,1,1,0,
Reece James,24,eng ENG,DM,25-217,76,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,
Kiernan Dewsbury-Hall,22,eng ENG,MF,26-310,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Marc Cucurella,3,es ESP,LB,26-356,90,0,0,0,0,1,0,0,0,3,2,0,0,0,2,0,
Levi Colwill,6,eng ENG,CB,22-137,90,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,
Trevoh Chalobah,23,eng ENG,CB,26-008,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,
Malo Gusto,27,fr FRA,RB,22-055,90,0,1,0,0,2,0,1,0,1,1,0,2,2,2,0,
Robert Sánchez,1,es ESP,GK,27-237,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
