date,market,market_id,category,commodity,commodity_id,unit,priceflag,pricetype,currency,usdprice
15/08/2010,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.82
15/08/2010,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.32
15/08/2010,National Average,226,cereals and tubers,Rice,52,KG,actual,Retail,EGP,0.7
15/08/2010,National Average,226,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,0.6
15/08/2010,National Average,226,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,8.81
15/08/2010,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,2.98
15/08/2010,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,0.75
15/08/2010,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,5.86
15/08/2010,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,1.54
15/08/2010,National Average,226,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,1.56
15/08/2010,National Average,226,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,0.3
15/08/2010,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.39
15/09/2010,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.88
15/09/2010,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.35
15/09/2010,National Average,226,cereals and tubers,Rice,52,KG,actual,Retail,EGP,0.69
15/09/2010,National Average,226,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,0.71
15/09/2010,National Average,226,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,9.33
15/09/2010,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,0.77
15/09/2010,National Average,226,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,1.73
15/09/2010,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,1.54
15/09/2010,National Average,226,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,1.56
15/09/2010,National Average,226,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,2.09
15/09/2010,National Average,226,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,0.34
15/09/2010,National Average,226,vegetables and fruits,Onions (white),111,KG,actual,Retail,EGP,0.34
15/09/2010,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.62
15/10/2010,National Average,226,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,0.72
15/10/2010,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,2.66
15/10/2010,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,0.81
15/10/2010,National Average,226,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,1.75
15/10/2010,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,6.1
15/10/2010,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,1.56
