Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Adriana Achci?ska,MF,pl Poland,23-085,2002,3,3,231,2.6,0,0,0,0,0,0,1,0,0,0,0.5,0.5,1,7,4,0,0,0,0,0,0.01,0.18,0.19,0.01,0.19,Matches
Kayla Adamek,MF,pl Poland,30-165,1995,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
Michelle Agyemang,DF,eng England,19-163,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,2.53,0,2.53,2.53,2.53,Matches
Olga Ahtinen,"MF,FW",fi Finland,,,2,0,37,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,1,0,0,0,0,0,0.2,0,0.2,0.2,0.2,Matches
Laia Aleixandri,DF,es Spain,24-325,2000,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
L£cia Alves,DF,pt Portugal,27-267,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,Matches
Catarina Amado,DF,pt Portugal,25-360,1999,3,2,161,1.8,0,0,0,0,0,0,0,0,0,0,0.1,0.1,5,1,1,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
Jonna Andersson,DF,se Sweden,32-195,1993,3,2,225,2.5,0,1,1,0,0,0,0,0,0,0,0.5,0.5,1,9,5,0,0.4,0.4,0,0.4,0.01,0.19,0.2,0.01,0.2,Matches
Filippa Angeldahl,MF,se Sweden,28-002,1997,3,3,260,2.9,1,0,1,1,0,0,0,0,0.9,0.9,0.2,1.1,5,36,14,0.35,0,0.35,0.35,0.35,0.3,0.07,0.37,0.3,0.37,Matches
Hildur Antonsd¢ttir,MF,is Iceland,29-301,1995,2,2,113,1.3,0,0,0,0,0,0,2,1,0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,Matches
Gu?n? ?rnad¢ttir,DF,is Iceland,24-346,2000,2,2,123,1.4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,Matches
Gu?r£n Arnard¢ttir,DF,is Iceland,29-352,1995,3,3,270,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,3,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
Kosovare Asllani,MF,se Sweden,35-352,1989,3,3,203,2.3,1,3,4,1,0,0,1,0,0.8,0.8,1.6,2.4,4,10,18,0.44,1.33,1.77,0.44,1.77,0.36,0.71,1.06,0.36,1.06,Matches
Selma Bacha,DF,fr France,24-249,2000,3,3,225,2.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,10,14,4,0,0,0,0,0,0.06,0.06,0.11,0.06,0.11,Matches
Stine Ballisager Pedersen,DF,dk Denmark,31-194,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Matches
Sandy Baltimore,"FW,MF",fr France,25-147,2000,3,2,167,1.9,1,0,1,1,0,0,0,0,0.5,0.5,0.4,0.9,6,7,12,0.54,0,0.54,0.54,0.54,0.26,0.24,0.49,0.26,0.49,Matches
Ona Batlle,DF,es Spain,26-036,1999,2,2,155,1.7,0,0,0,0,0,0,1,0,0,0,0.2,0.2,3,18,13,0,0,0,0,0,0,0.13,0.13,0,0.13,Matches
Maja Bay ?stergaard,GK,dk Denmark,27-110,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
Lineth Beerensteyn,FW,nl Netherlands,28-278,1996,3,1,155,1.7,0,0,0,0,0,0,0,0,0.9,0.9,0.2,1.1,1,1,7,0,0,0,0,0,0.53,0.09,0.62,0.53,0.62,Matches
Agnes Beever-Jones,FW,eng England,21-354,2003,2,0,41,0.5,1,1,2,1,0,0,0,0,0.5,0.5,0.5,1,0,1,4,2.2,2.2,4.39,2.2,4.39,1.11,1.04,2.15,1.11,2.15,Matches
Iman Beney,DF,ch Switzerland,18-358,2006,3,3,261,2.9,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,10,6,17,0,0,0,0,0,0.15,0.13,0.28,0.15,0.28,Matches
