Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,strength
be Belgium,19,27.8,39.3,3,33,270,3,4,3,7,4,0,0,5,0,3.8,3.8,2.8,6.6,21,79,1.33,1,2.33,1.33,2.33,1.28,0.93,2.22,1.28,2.22,2.000447474
dk Denmark,18,28.1,42,3,33,270,3,3,2,5,3,0,0,3,0,3.1,3.1,2.8,6,38,97,1,0.67,1.67,1,1.67,1.05,0.94,1.98,1.05,1.98,2.079247382
eng England,18,27.5,61,3,33,270,3,11,7,18,10,1,1,1,0,9,8.2,6.9,15.2,39,145,3.67,2.33,6,3.33,5.67,2.99,2.31,5.3,2.75,5.05,6.021493613
fi Finland,18,27.2,54.7,3,33,270,3,3,2,5,2,1,1,2,0,3.2,2.4,2.1,4.5,65,99,1,0.67,1.67,0.67,1.33,1.06,0.69,1.75,0.81,1.51,2.640193877
fr France,20,26.7,55.3,3,33,270,3,11,6,17,9,2,2,3,0,7.9,6.4,4.9,11.4,64,146,3.67,2,5.67,3,5,2.63,1.65,4.27,2.14,3.79,5.572633309
de Germany,19,26.9,63.3,3,33,270,3,5,4,9,4,1,1,3,1,6.5,5.7,4.7,10.5,86,156,1.67,1.33,3,1.33,2.67,2.16,1.58,3.73,1.91,3.49,3.629716776
is Iceland,19,26.4,42,3,33,270,3,3,2,5,2,1,1,6,1,3.8,3.1,2.1,5.2,15,58,1,0.67,1.67,0.67,1.33,1.27,0.7,1.97,1.03,1.73,0.432961244
it Italy,19,28.8,39.3,3,33,270,3,3,2,5,3,0,0,4,0,4.2,4.2,3.5,7.7,35,77,1,0.67,1.67,1,1.67,1.39,1.18,2.57,1.39,2.57,2.011994917
nl Netherlands,18,27,54.7,3,33,270,3,4,4,8,4,0,0,3,0,3,3,2.1,5.1,36,110,1.33,1.33,2.67,1.33,2.67,0.99,0.71,1.7,0.99,1.7,2.806278013
no Norway,21,27.8,49.3,3,33,270,3,6,5,11,6,0,1,3,1,4.2,3.4,2.7,6.2,33,88,2,1.67,3.67,2,3.67,1.39,0.91,2.3,1.14,2.05,2.242810888
pl Poland,20,25.6,41,3,33,270,3,3,2,5,3,0,0,4,0,3.3,3.3,2.8,6.2,38,64,1,0.67,1.67,1,1.67,1.11,0.95,2.06,1.11,2.06,1.851092212
pt Portugal,21,29.3,47,3,33,270,3,2,2,4,2,0,0,4,1,2.9,2.9,2.8,5.6,36,78,0.67,0.67,1.33,0.67,1.33,0.96,0.92,1.88,0.96,1.88,0.847704849
es Spain,19,26.8,74.3,3,33,270,3,14,12,26,14,0,0,2,0,8.9,8.9,7.1,16,54,229,4.67,4,8.67,4.67,8.67,2.98,2.35,5.33,2.98,5.33,8.154366197
se Sweden,21,29.5,53.7,3,33,270,3,8,6,14,7,1,1,1,0,8.9,8.6,7.6,16.2,55,145,2.67,2,4.67,2.33,4.33,2.96,2.53,5.49,2.88,5.41,5.45783374
ch Switzerland,17,25.2,54,3,33,270,3,4,3,7,4,0,0,2,0,3.1,3.1,2.7,5.8,56,135,1.33,1,2.33,1.33,2.33,1.04,0.9,1.94,1.04,1.94,3.138326992
wls Wales,20,29.1,29,3,33,270,3,2,2,4,2,0,0,3,0,1.8,1.8,1.1,2.9,18,39,0.67,0.67,1.33,0.67,1.33,0.6,0.38,0.98,0.6,0.98,0.858028169
,,,,,,,,,,,,,,,,,,,,,,2.67,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,england,1.66584162,,0,spain,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
